Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,27579,0.054,5,5,1.0,0.9879239530796319,15.096551844328435,0.0,0.0,,0.0
1,ii,370,0.513,5,5,1.0,0.8878931377100803,13.527228402401827,0.0,0.0,,0.0
5,lucene,28176,0.132,5,5,1.0,0.9886870790681735,16.12735500015086,0.10672200581230395,0.16666666666666666,6,0.16666666666666666
5,lucene,29115,0.094,5,4,0.8,0.8827934119882213,8.892789260714373,0.0,0.0,,0.0
5,lucene,30631,0.10300000000000001,5,5,1.0,0.9818591958247704,13.531086967542706,0.0,0.0,,0.0
5,lucene,31362,0.096,5,5,1.0,0.9977682359878776,15.4964252465794,0.20311835059902497,0.3333333333333333,3,0.3333333333333333
1,ii,910,0.44,5,5,1.0,0.983602713688175,14.9964252465794,0.0,0.0,,0.0
5,lucene,31476,0.088,5,5,1.0,0.9954159738026584,14.215622090756977,0.0,0.0,,0.0
5,lucene,32780,0.111,5,5,1.0,0.9945760557564168,12.004142376861159,0.0,0.0,,0.0
5,lucene,32785,0.054,5,5,1.0,0.9855124959960664,16.242566681438525,0.0,0.0,,0.0
5,lucene,34156,0.11,5,5,1.0,0.9775010236562883,15.211763525616098,0.0,0.0,,0.0
5,lucene,34239,0.274,5,5,1.0,1.0,16.412016721114163,0.16624420601527468,0.10882352941176471,10,0.1
1,ii,2024,0.601,5,5,1.0,1.0,14.531086967542706,0.0,0.0,,0.0
5,lucene,34664,0.052000000000000005,5,5,1.0,0.9018765697321091,11.489057293322526,0.0,0.0,,0.0
5,lucene,35259,0.091,5,4,0.8,0.9409648290008868,11.892789260714373,0.0,0.0,,0.0
5,lucene,36229,0.049,5,5,1.0,0.9796169680724995,13.680960369793672,0.0,0.0,,0.0
5,lucene,36624,0.048,5,5,1.0,0.9807414893378015,14.4964252465794,0.0,0.0,,0.0
5,lucene,37091,0.053,5,5,1.0,0.9735305166829865,15.427101804652795,0.06465230601589633,0.047619047619047616,21,0.047619047619047616
